category,sub_category,item,link
Groceries,Kitchenware,Gas Stove,https://www.jiomart.com/c/groceries/kitchenware/gas-stove/30007?flow=schedule
Groceries,Kitchenware,Pots & Pans,https://www.jiomart.com/c/groceries/kitchenware/pots-pans/32904?flow=schedule
Groceries,Kitchenware,Containers & Storage,https://www.jiomart.com/c/groceries/kitchenware/containers-storage/30008?flow=schedule
Groceries,Kitchenware,"Flask, Bottle & Tiffin Boxes",https://www.jiomart.com/c/groceries/kitchenware/flask-bottle-tiffin-boxes/30005?flow=schedule
Groceries,Kitchenware,Cutting & Chopping,https://www.jiomart.com/c/groceries/kitchenware/cutting-chopping/30002?flow=schedule
Groceries,Kitchenware,Kitchen Tools,https://www.jiomart.com/c/groceries/kitchenware/kitchen-tools/19696?flow=schedule
Groceries,Kitchenware,Bakeware,https://www.jiomart.com/c/groceries/kitchenware/bakeware/30006?flow=schedule
Groceries,Tableware,Dining,https://www.jiomart.com/c/groceries/tableware/dining/30195?flow=schedule
Groceries,Tableware,Serveware,https://www.jiomart.com/c/groceries/tableware/serveware/30426?flow=schedule
Groceries,Tableware,"Cups, Mugs & More",https://www.jiomart.com/c/groceries/tableware/cups-mugs-more/30423?flow=schedule
Groceries,Tableware,Glassware & Drinkware,https://www.jiomart.com/c/groceries/tableware/glassware-drinkware/30425?flow=schedule
Groceries,Tableware,Cutlery,https://www.jiomart.com/c/groceries/tableware/cutlery/32906?flow=schedule
Groceries,Tableware,Barware,https://www.jiomart.com/c/groceries/tableware/barware/30017?flow=schedule
Groceries,Tableware,Serving Aids,https://www.jiomart.com/c/groceries/tableware/serving-aids/32907?flow=schedule
Groceries,Tableware,Table Accessories,https://www.jiomart.com/c/groceries/tableware/table-accessories/30422?flow=schedule
Groceries,"School, Office & Stationery",Notebooks & Paper Products,https://www.jiomart.com/c/groceries/school-office-stationery/notebooks-paper-products/29999?flow=schedule
Groceries,"School, Office & Stationery",Writing Instruments & Accessories,https://www.jiomart.com/c/groceries/school-office-stationery/writing-instruments-accessories/29986?flow=schedule
Groceries,"School, Office & Stationery",School Supplies,https://www.jiomart.com/c/groceries/school-office-stationery/school-supplies/29992?flow=schedule
Groceries,"School, Office & Stationery",Office Supplies,https://www.jiomart.com/c/groceries/school-office-stationery/office-supplies/29993?flow=schedule
Groceries,"School, Office & Stationery",Party Accessories,https://www.jiomart.com/c/groceries/school-office-stationery/party-accessories/29995?flow=schedule
Groceries,"School, Office & Stationery","Art, Craft & Hobby",https://www.jiomart.com/c/groceries/school-office-stationery/art-craft-hobby/29998?flow=schedule
Groceries,"School, Office & Stationery",Children's Books,https://www.jiomart.com/c/groceries/school-office-stationery/children-s-books/30009?flow=schedule
Groceries,"School, Office & Stationery",School Textbooks,https://www.jiomart.com/c/groceries/school-office-stationery/school-textbooks/30014?flow=schedule
Groceries,Disposables,Food Wrapping Essentials,https://www.jiomart.com/c/groceries/disposables/food-wrapping-essentials/32899?flow=schedule
Groceries,Disposables,Home Hygiene,https://www.jiomart.com/c/groceries/disposables/home-hygiene/32900?flow=schedule
Groceries,Disposables,Plates & Cutlery,https://www.jiomart.com/c/groceries/disposables/plates-cutlery/32901?flow=schedule
Groceries,Disposables,Tissues & Napkins,https://www.jiomart.com/c/groceries/disposables/tissues-napkins/32902?flow=schedule
Groceries,Crafts of India,Kitchenware,https://www.jiomart.com/c/groceries/crafts-of-india/kitchenware/30190?flow=schedule
Groceries,Crafts of India,Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/crafts-of-india/bathroom-laundry-accessories/30432?flow=schedule
Groceries,Crafts of India,Tableware,https://www.jiomart.com/c/groceries/crafts-of-india/tableware/30433?flow=schedule
Groceries,Crafts of India,Pooja Needs,https://www.jiomart.com/c/groceries/crafts-of-india/pooja-needs/30434?flow=schedule
Groceries,Crafts of India,"Art, Craft & Hobby",https://www.jiomart.com/c/groceries/crafts-of-india/art-craft-hobby/30400?flow=schedule
Groceries,Crafts of India,Other Stationery,https://www.jiomart.com/c/groceries/crafts-of-india/other-stationery/30435?flow=schedule
Groceries,Crafts of India,Notebooks & Paper Products,https://www.jiomart.com/c/groceries/crafts-of-india/notebooks-paper-products/30436?flow=schedule
Groceries,Gifts & Hampers,Tea Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/tea-gifts/30024?flow=schedule
Groceries,Gifts & Hampers,Chocolate Gifts,https://www.jiomart.com/c/groceries/gifts-hampers/chocolate-gifts/30025?flow=schedule
